駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
大更,612,"1,299",612,47.11,183,846,270,"1,466",538,183,34,29,"215,280",146,11,258,9.15,11.08,11.46,14.08,13.23,13.38,12.15,10.46,5,51.72,31.03,742
平館,644,310,139,44.84,32,166,118,513,105,18,17,17,"85,029",38,1,85,5.97,7.55,6.92,8.81,12.89,13.21,15.41,14.15,15.09,47.06,47.06,299
北森,230,276,139,50.36,33,160,84,325,93,15,16,2,0,14,0,119,8.27,6.12,6.47,12.59,9.35,17.63,13.67,15.47,10.43,50,50,71
松尾八幡平,122,194,83,42.78,32,114,46,95,69,12,17,0,0,0,0,0,8.95,14.74,5.79,13.68,10.53,15.79,12.11,10,8.42,0,0,0
安比高原,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
赤坂田,78,114,51,44.74,4,53,53,156,43,8,19,2,0,19,1,0,1.82,7.27,4.55,6.36,10.91,10.91,20.91,25.45,11.82,0,100,95
小屋の畑,28,75,37,49.33,4,37,27,75,24,4,17,1,0,6,1,0,4.48,7.46,5.97,7.46,4.48,26.87,8.96,25.37,8.96,0,100,31
荒屋新町,154,572,274,47.9,56,294,224,510,206,52,25,19,"74,820",62,2,0,5.94,7.87,7.17,8.39,9.27,14.69,15.91,17.83,12.94,47.37,36.84,241
横間,16,39,18,46.15,0,22,16,33,13,2,15,0,0,1,0,0,0,5.26,15.79,7.89,2.63,18.42,15.79,23.68,10.53,0,0,3
田山,224,332,156,46.99,24,166,148,375,129,25,19,10,"22,673",36,2,52,3.85,6.51,5.03,5.33,10.36,14.2,17.75,26.33,10.65,40,30,222
兄畑,48,73,36,49.32,3,40,35,50,29,9,31,3,"4,304",6,0,0,5.06,1.27,3.8,8.86,8.86,17.72,25.32,17.72,11.39,0,66.67,14
角の浜,156,528,248,46.97,60,305,159,422,185,34,18,1,"5,388",21,1,69,6.13,9.96,6.32,9.96,12.26,16.09,16.28,13.98,9,0,100,74
平内,382,320,149,46.56,35,188,99,300,115,24,21,0,0,9,0,75,5.9,9.32,6.21,10.87,10.56,16.77,17.39,13.35,9.63,0,0,47
種市,346,"1,306",623,47.7,172,714,421,"1,584",471,121,26,41,"122,180",155,5,154,7.19,10.55,6.42,10.02,12.46,13.23,15.75,14.98,9.4,48.78,41.46,814
玉川,108,165,80,48.48,13,106,53,149,56,11,20,1,0,4,1,0,3.49,7.56,7.56,6.4,16.28,19.19,13.37,13.37,12.79,0,0,52
宿戸,338,360,174,48.33,50,216,96,487,120,21,18,2,0,21,0,226,8.22,9.59,4.93,14.52,11.78,14.79,17.53,12.05,6.58,50,0,87
陸中八木,240,390,178,45.64,47,220,124,337,131,24,18,6,"26,967",22,0,0,6.65,11.51,6.14,8.18,13.81,14.32,17.14,15.6,6.65,50,33.33,140
有家,116,41,20,48.78,9,24,9,30,13,4,31,0,0,0,0,0,13.95,9.3,11.63,11.63,11.63,16.28,9.3,9.3,6.98,0,0,1
陸中中野,214,215,97,45.12,19,118,78,214,86,28,33,0,0,4,0,0,4.17,8.8,7.41,9.72,8.8,15.28,18.52,19.44,7.87,0,0,62
侍浜,152,137,64,46.72,10,80,57,136,59,23,39,2,0,4,0,5,2.04,16.33,1.36,10.88,13.61,8.84,19.05,23.13,4.76,0,100,57
陸中夏井,40,526,249,47.34,80,305,141,445,195,46,24,4,"8,798",16,0,0,8.71,12.12,7.77,9.47,14.39,13.64,14.58,10.23,9.09,25,25,208
久慈,538,"1,487",709,47.68,189,842,455,"3,512",682,269,39,145,"1,051,083",566,45,75,7.8,7.8,7.06,12.1,12.78,13.79,15.06,14.06,9.55,52.41,42.76,"2,838"
岐阜,"60,000","4,957","2,283",46.06,488,"2,928","1,454","14,811","2,257",846,37,208,"1,258,843","1,359",101,357,6.67,7.06,8.28,12.59,14.09,13.41,15.4,13.49,9.01,64.42,33.65,"12,837"
西岐阜,"10,804","3,032","1,454",47.96,432,"1,971",603,"3,672","1,191",347,29,26,"436,275",180,19,"1,218",9.28,9.95,10.78,14.77,15,12.91,13.64,9.05,4.62,42.31,46.15,"1,354"
穂積,"17,508","3,337","1,631",48.88,405,"2,130",782,"2,466","1,295",363,28,56,"270,495",226,19,0,7.99,8.38,12.61,15.65,12.88,11.52,13.96,10.83,6.18,62.5,33.93,"1,306"
大垣,"33,238","3,957","1,841",46.53,410,"2,366","1,166","6,017","1,582",474,30,166,"1,120,552",634,56,187,6.85,7.71,9.06,12.1,13.47,13.22,14.51,13.29,9.79,55.42,41.57,"4,296"
垂井,"5,207","2,322","1,139",49.05,347,"1,430",538,"2,210",832,188,23,50,"379,915",182,9,62,10.16,9.51,11.02,14.74,11.37,12.4,14.09,10.54,6.18,56,34,"1,296"
関ケ原,"2,102","1,294",635,49.07,140,752,403,"1,914",424,92,22,29,"120,484",108,7,216,6.58,9.44,7.97,9.98,11.92,13.16,16.41,15.09,9.44,55.17,44.83,"1,180"
荒尾,734,"2,237","1,092",48.82,358,"1,440",435,"1,733",775,168,22,7,"37,044",46,2,583,10.79,11.06,9.27,15.76,14.51,12.05,12.94,9.09,4.52,57.14,28.57,385
美濃赤坂,698,"1,875",875,46.67,219,"1,086",570,"1,865",603,117,19,21,"88,716",91,2,198,8.16,7.41,8.59,11.95,10.24,13.76,16.64,13.49,9.76,52.38,28.57,872
古虎渓,906,701,341,48.64,53,524,117,267,250,26,10,0,0,4,0,0,4.17,8.63,11.8,8.78,8.63,24.03,22.3,6.91,4.75,0,0,30
多治見,"27,188","3,349","1,579",47.15,454,"2,147",683,"5,601","1,441",501,35,121,"1,075,206",524,50,351,9.14,9.2,10.23,16.57,16.2,10.99,12.21,9.07,6.39,61.98,28.1,"4,264"
