駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
三浦,38,285,132,46.32,20,174,92,164,97,18,19,2,0,4,0,0,3.15,8.74,11.19,7.34,11.89,17.13,15.73,13.99,10.84,0,50,18
美作滝尾,112,295,134,45.42,50,157,92,256,86,13,15,2,0,20,1,35,9.36,11.04,7.36,13.04,9.03,11.37,15.05,13.38,10.37,0,50,94
高野,44,652,319,48.93,107,397,142,413,237,49,21,3,"4,391",16,2,0,11.46,9.6,9.91,16.25,11.15,12.38,12.23,9.91,7.12,0,33.33,127
東津山,226,"1,516",711,46.9,195,897,395,"1,943",618,240,39,36,"572,966",117,7,91,9.08,9.08,10.09,13.11,12.37,11.3,14.39,9.48,11.1,41.67,47.22,"1,246"
津山,"4,182","1,443",664,46.02,144,828,468,"2,544",635,264,42,43,"362,167",248,27,222,6.53,8.2,7.92,12.02,11.4,11.88,16.82,14.18,11.05,62.79,27.91,"1,704"
岡山,"118,464","5,266","2,399",45.56,386,"3,282","1,366","22,036","3,238","2,095",65,383,"4,841,924","1,567",171,"1,620",4.75,7.75,15.82,12.99,12.26,11.46,14.31,11.56,9.1,65.8,33.16,"18,916"
法界院,"2,118","5,439","2,854",52.47,476,"3,964",825,"7,182","3,383","2,305",68,49,"531,243",177,14,"4,532",5.6,13.98,28.89,10.09,10.66,10.05,8.93,7.1,4.69,53.06,38.78,"1,240"
備前原,194,979,535,54.65,84,630,254,459,486,237,49,3,"4,596",23,1,0,5.26,11.04,15.69,10.32,10.11,13.31,16.41,10.94,6.91,33.33,66.67,83
玉柏,162,472,219,46.4,51,265,157,257,166,29,17,0,0,5,0,0,5.1,11.25,8.49,9.34,10.62,14.65,13.59,17.83,9.13,0,0,36
牧山,82,104,54,51.92,5,45,50,54,40,10,25,0,0,0,0,0,0.99,9.9,4.95,4.95,8.91,9.9,23.76,25.74,10.89,0,0,1
野々口,242,532,269,50.56,73,335,124,752,198,42,21,4,"10,591",18,1,96,9.74,7.3,11.42,14.79,11.61,13.3,15.92,9.74,6.18,25,50,472
金川,"1,724",613,296,48.29,94,387,129,728,233,69,30,10,"88,365",54,1,141,10.47,9.33,11.78,16.53,11.46,12.44,11.95,8.35,7.69,50,40,369
建部,388,420,201,47.86,46,245,129,265,159,45,28,7,"26,977",17,0,0,6.41,8.79,10.69,7.6,10.21,16.63,14.96,12.83,11.88,42.86,42.86,54
福渡,486,617,271,43.92,52,289,275,828,237,60,25,21,"59,454",87,4,70,4.7,6.65,6,8.91,10.21,9.89,17.67,22.04,13.94,52.38,38.1,466
神目,140,341,165,48.39,38,187,115,369,129,25,19,5,"9,296",25,0,85,4.42,11.8,6.19,7.96,12.39,14.16,17.4,15.93,9.73,40,60,132
弓削,442,544,253,46.51,85,302,157,659,190,39,21,16,"109,153",50,2,137,9.01,11.76,6.62,9.38,13.24,12.68,15.99,12.5,8.82,43.75,43.75,290
誕生寺,90,266,126,47.37,29,153,84,283,106,29,27,3,"1,774",14,0,29,7.52,7.14,6.77,9.77,10.15,16.17,18.05,13.91,10.53,33.33,33.33,117
小原,54,270,132,48.89,30,157,85,142,92,14,15,1,0,8,0,0,7.72,5.51,9.19,12.13,8.09,14.34,19.12,11.76,12.13,0,0,20
亀甲,494,528,247,46.78,77,312,139,698,198,53,27,13,"88,437",52,1,79,10.21,7.75,10.02,15.31,10.21,11.72,14.37,12.67,7.75,38.46,46.15,413
佐良山,40,245,113,46.12,33,127,86,548,88,20,23,3,154,26,2,0,6.53,9.8,7.35,8.16,13.88,12.65,15.92,15.51,10.2,0,33.33,418
津山口,44,"1,540",735,47.73,172,841,523,"1,975",544,172,32,22,"478,706",112,3,0,6.7,7.94,7.55,11.19,10.47,13.08,17.37,15.35,10.34,36.36,31.82,"1,210"
津山,"4,244","1,443",664,46.02,144,828,468,"2,544",635,264,42,43,"362,167",248,27,222,6.53,8.2,7.92,12.02,11.4,11.88,16.82,14.18,11.05,62.79,27.91,"1,704"
岡山,"118,464","5,266","2,399",45.56,386,"3,282","1,366","22,036","3,238","2,095",65,383,"4,841,924","1,567",171,"1,620",4.75,7.75,15.82,12.99,12.26,11.46,14.31,11.56,9.1,65.8,33.16,"18,916"
備前三門,"1,878","4,509","2,171",48.15,390,"2,850","1,188","5,299","2,321","1,192",51,33,"211,032",159,8,"2,152",5.85,8.49,14.84,13.03,10.77,11.63,15.22,12.13,8.02,39.39,54.55,"1,396"
大安寺,602,"3,045","1,462",48.01,484,"1,917",606,"2,213","1,248",383,31,22,"203,899",102,13,291,11.1,9.01,12.67,17.42,12.93,10.97,11.1,9.77,5.02,54.55,22.73,907
備前一宮,"1,750","2,264","1,076",47.53,363,"1,390",502,"1,800",820,161,20,13,"64,895",50,1,564,11.1,10.08,9.37,14.78,12.47,11.81,15.36,9.37,5.68,38.46,46.15,339
吉備津,"1,110","1,542",731,47.41,234,900,406,"1,044",531,83,16,15,"108,693",42,2,206,9.94,9.68,9.35,12.4,12.4,12.66,14.29,11.23,8.05,33.33,60,281
備中高松,"2,582","1,395",667,47.81,211,824,356,"1,720",473,91,19,23,"217,099",75,2,634,9.58,12.31,7.78,12.81,13.46,11.59,13.82,10.73,7.92,43.48,47.83,586
足守,"1,140",673,329,48.89,113,432,124,370,232,47,20,2,"6,905",13,0,0,10.03,13.47,11.83,12.72,14.07,11.83,13.77,6.14,6.14,50,0,138
服部,"1,560",405,192,47.41,65,251,88,"1,488",153,65,42,1,281,3,0,"1,337",11.11,11.6,16.3,13.33,10.12,9.88,13.33,7.41,6.91,100,0,30
東総社,"1,622","3,353","1,516",45.21,488,"2,124",727,"3,427","1,352",464,34,56,"484,668",160,4,776,9.65,10.58,13,14.65,12.13,11.56,11.86,9.71,6.86,50,37.5,"1,300"
総社,"6,196","3,247","1,565",48.2,484,"2,091",650,"3,771","1,366",521,38,73,"777,580",250,16,545,10.29,9.7,12.12,15.53,12.03,12.24,14.14,8.46,5.49,64.38,30.14,"2,103"
岡山,"118,464","5,266","2,399",45.56,386,"3,282","1,366","22,036","3,238","2,095",65,383,"4,841,924","1,567",171,"1,620",4.75,7.75,15.82,12.99,12.26,11.46,14.31,11.56,9.1,65.8,33.16,"18,916"
大元,"3,058","7,024","3,407",48.51,"1,011","4,750","1,106","4,765","3,447","1,668",48,36,"519,520",278,11,137,9.96,9.13,13.51,17.76,15.17,12.39,10.8,7.1,4.18,41.67,44.44,"2,492"
備前西市,"2,668","4,415","2,190",49.6,728,"3,108",547,"3,955","2,001",825,41,36,"796,132",240,18,192,11.23,9.97,15.02,21.18,14.33,10.09,9.61,5.66,2.92,50,27.78,"2,653"
妹尾,"6,012","4,788","2,272",47.45,690,"3,123",974,"2,636","1,761",340,19,44,"357,406",128,6,262,9.17,10.55,8.65,14.16,13.6,14.98,15.02,8.75,5.12,50,45.45,663
備中箕島,294,915,437,47.76,116,559,240,741,314,50,16,5,"13,425",30,1,38,8,9.31,8.11,13.25,11.39,14.68,16.43,11.39,7.45,0,40,344
早島,"2,092","1,703",814,47.8,318,"1,043",336,"1,153",584,110,19,12,"29,274",62,4,122,11.61,11.73,9.55,16.68,13.32,10.9,12.37,8.72,5.13,33.33,50,409
久々原,108,"1,244",593,47.67,248,776,215,475,412,59,14,4,"8,061",23,0,0,14.57,10.55,9.1,18.04,13.53,10.47,12,7.17,4.59,50,25,89
茶屋町,"7,210","4,404","2,095",47.57,816,"2,730",796,"3,101","1,688",401,24,36,"406,950",150,10,558,13.18,10.55,10.37,18.52,13.59,10.34,10.23,8.39,4.84,41.67,47.22,"1,036"
彦崎,562,"2,017",970,48.09,345,"1,236",437,"1,610",679,91,13,9,"98,517",69,1,192,11,11.24,8.17,15.95,12.63,11.44,14.66,9.36,5.55,44.44,55.56,660
備前片岡,502,"1,189",540,45.42,140,650,398,929,386,54,14,4,941,38,2,103,7.5,8.09,7.33,11.63,11.12,11.71,18.53,12.55,11.54,50,50,348
迫川,514,"1,276",598,46.87,148,782,346,652,446,80,18,11,"16,728",41,2,35,7.45,8.86,9.56,13.01,10.74,14.11,17.48,10.66,8.15,36.36,54.55,187
常山,832,975,477,48.92,110,633,232,577,343,54,16,7,"51,714",26,1,0,6.67,10.47,11.19,12.22,13.14,14.17,15.4,9.24,7.49,42.86,57.14,212
八浜,788,818,381,46.58,93,501,226,615,306,90,29,4,"4,425",16,0,0,7.68,11.46,13.17,11.95,8.41,12.56,13.66,10.98,10.12,75,25,290
備前田井,546,"1,949",946,48.54,232,"1,191",527,"1,578",799,212,27,24,"226,824",68,5,304,7.28,8.62,10.72,14.72,11.13,12.05,16,12.31,7.18,25,58.33,486
宇野,"2,376",719,356,49.51,60,430,229,"1,945",327,132,40,55,"298,163",177,23,544,5.72,8.51,12.55,10.6,9.48,11.58,17.71,13.39,10.46,50.91,41.82,"1,116"
備中神代,54,123,57,46.34,9,52,63,152,44,11,25,0,0,12,0,0,2.38,9.52,4.76,6.35,10.32,13.49,9.52,25.4,18.25,0,0,82
坂根,4,56,27,48.21,7,28,24,39,18,5,28,1,0,1,0,0,7.02,10.53,3.51,5.26,12.28,8.77,15.79,26.32,10.53,0,100,6
市岡,20,137,60,43.8,14,81,59,99,52,15,29,3,"2,538",8,1,0,1.97,10.53,3.95,5.92,9.87,17.76,15.13,16.45,18.42,0,33.33,28
矢神,34,147,67,45.58,14,74,59,140,51,10,20,5,"9,766",17,1,0,6.16,6.16,6.16,7.53,8.9,15.75,13.7,21.23,14.38,40,40,91
野馳,46,213,102,47.89,25,117,71,167,83,27,33,5,"4,876",17,2,0,9.77,7.91,7.91,13.02,11.63,10.7,13.49,15.81,9.77,40,20,67
茶屋町,"7,210","4,404","2,095",47.57,816,"2,730",796,"3,101","1,688",401,24,36,"406,950",150,10,558,13.18,10.55,10.37,18.52,13.59,10.34,10.23,8.39,4.84,41.67,47.22,"1,036"
植松,298,"1,412",691,48.94,267,913,232,"1,079",467,61,13,8,"108,214",54,2,56,11.97,12.54,10.2,16.15,14.66,10.27,13.95,7.08,3.19,50,37.5,547
木見,388,526,257,48.86,75,301,150,285,182,32,18,3,"1,160",15,0,0,8.14,11.55,6.63,12.88,14.58,9.47,17.42,12.88,6.44,33.33,66.67,69
上の町,868,"2,501","1,178",47.1,402,"1,558",521,"1,360",897,189,21,14,"121,169",88,3,0,10.23,11.08,10.35,14.46,12.32,12.2,14.82,9.71,4.83,42.86,42.86,488
児島,"8,248","1,204",597,49.58,201,763,220,"1,842",475,169,36,38,"544,888",129,10,241,11.67,10.23,10.65,16.65,14.29,11.67,10.82,8.37,5.66,57.89,31.58,"1,218"
赤嶺,"3,561","6,339","3,226",50.89,"1,115","4,451",729,"4,924","2,243",631,28,41,"707,600",267,21,277,11.22,13.97,15.22,14.87,15.22,13.22,7.63,5.78,2.88,41.46,51.22,"2,559"
小禄,"6,671","9,352","4,510",48.22,"1,701","6,433","1,158","9,004","3,520","1,045",30,101,"1,733,015",457,35,"2,413",11.32,14.07,12.8,14.57,15.49,13.97,8.44,5.91,3.43,61.39,33.66,"3,428"
奥武山公園,"3,488","5,163","2,497",48.36,773,"3,491",843,"5,308","2,194",802,37,47,"325,225",263,18,"1,430",10.37,11.14,13.07,15.48,13.58,13.45,10.2,8.48,4.23,38.3,48.94,"2,024"
