index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
228,名鉄一宮,"33,120","6,030","2,875",47.68,696,"3,856","1,397","9,309","2,797","1,170",42,188,"2,235,893",826,78,606,7.75,7.68,10.05,16.17,15.06,12.58,13.7,10.66,6.34,67.02,30.85,"6,878"
229,今伊勢,"2,401","5,843","2,904",49.7,842,"3,822","1,121","4,326","2,170",591,27,31,"679,778",140,11,964,9.21,10.49,10.32,15.63,15.18,11.86,14.99,8.92,3.41,38.71,41.94,"1,252"
230,石刀,"2,373","4,970","2,419",48.67,721,"3,217","1,009","2,945","1,881",425,23,10,"71,714",92,9,625,9.18,10.05,10.81,15.36,13.52,11.7,16.27,9.42,3.68,40,50,651
231,新木曽川,"5,324","3,867","1,860",48.1,559,"2,392",878,"3,403","1,429",349,24,51,"242,844",235,22,617,9.37,10.13,9.79,15.11,13.62,11.43,14.74,10.18,5.64,52.94,41.18,"1,488"
232,黒田,"1,757","3,676","1,755",47.74,512,"2,382",756,"2,954","1,294",237,18,61,"1,254,817",176,25,5,9.12,9.86,10.57,15.01,14.21,12.81,14.49,9.45,4.49,75.41,19.67,"1,673"
233,木曽川堤,567,"1,233",611,49.55,161,731,339,652,403,54,13,6,"13,603",54,3,0,7.55,9.99,8.37,12.67,13.16,11.86,18.2,12.51,5.69,66.67,16.67,208
234,国府,"9,454","3,224","1,592",49.38,421,"2,036",752,"2,749","1,291",399,31,59,"555,014",219,14,185,8.66,8.94,11.93,13.71,12.68,12.59,14.36,10.59,6.54,47.46,44.07,"1,371"
235,八幡,"1,541","2,050","1,010",49.27,333,"1,337",363,"2,609",770,196,25,23,"339,726",109,11,40,10.72,10.42,11.41,15.49,14.36,11.55,14.7,7.28,4.08,52.17,30.43,"1,881"
236,諏訪町,"4,088","4,082","2,104",51.54,599,"2,657",801,"5,528","1,713",616,36,77,"654,938",344,31,"1,421",9.79,10.36,12.75,14.97,13.51,12.25,12.65,8.95,4.78,54.55,40.26,"2,677"
237,稲荷口,832,"4,383","2,171",49.53,580,"2,778",997,"3,447","1,747",510,29,70,"1,052,229",250,20,225,9.02,8.68,10.17,14.1,13.36,13.43,15.09,10.59,5.56,52.86,35.71,"1,666"
