index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
174,瑞穂運動場,"6,570","121,361","58,859",48.5,"14,048","77,689","28,342","119,194","55,710","22,735",40.81,"1,138","10,002,506","6,189",624,"23,800",7.61,8.36,11.93,14.53,13.72,12.45,14.23,10.5,6.67,51.41,43.23,"53,914"
175,新瑞橋,"14,945","119,707","58,665",49.01,"14,012","76,193","28,361","114,178","53,896","21,210",39.35,"1,024","9,919,661","5,946",573,"21,841",7.67,8.47,11.55,14.59,13.62,12.36,14.47,10.69,6.58,49.8,43.75,"50,543"
176,桜本町,"7,426","111,553","55,302",49.57,"13,050","71,383","26,056","103,786","49,210","18,641",37.88,936,"10,520,031","5,816",573,"12,059",7.74,8.42,11.65,14.81,13.48,12.45,14.74,10.63,6.08,48.93,41.88,"52,955"
177,鶴里,"5,588","109,946","54,599",49.66,"13,243","70,525","25,163","91,390","47,322","16,470",34.8,828,"9,984,046","5,100",476,"11,129",8,8.55,11.17,15.02,13.55,12.56,15.08,10.51,5.55,49.28,40.34,"41,697"
178,野並,"13,492","99,446","49,369",49.64,"13,174","63,583","21,871","76,730","41,446","12,765",30.8,639,"9,682,660","3,857",352,"10,645",8.89,8.97,10.55,15.37,13.89,12.3,14.88,10.22,4.94,47.42,40.22,"30,979"
179,豊橋,"34,079","67,933","33,574",49.42,"8,949","42,750","15,318","78,350","28,233","9,949",35.24,"1,239","12,828,435","5,663",455,"8,462",8.72,9.18,10.78,14.52,13.77,12.63,13.56,10.39,6.45,55.45,35.27,"47,219"
180,伊奈,"2,390","32,352","16,009",49.48,"4,597","20,500","7,101","24,924","11,375","2,415",21.23,224,"2,438,349","1,124",68,"3,032",9.39,9.67,10.48,14.56,12.99,12.6,15.19,9.86,5.26,42.41,41.52,"10,657"
181,小田渕,433,"30,871","15,375",49.8,"4,592","19,941","6,173","27,112","11,129","2,567",23.07,186,"1,714,083","1,198",73,"2,956",9.83,9.98,10.89,15.36,13.42,12.2,14.77,9.12,4.42,43.55,40.86,"14,030"
182,国府,"9,454","26,563","12,999",48.94,"4,132","17,035","5,302","21,101","9,622","2,138",22.22,174,"1,485,880",868,65,"4,055",10.34,10.09,11.42,15.49,12.97,11.95,14.28,8.67,4.81,43.68,45.4,"8,247"
183,御油,606,"23,861","11,673",48.92,"3,847","15,179","4,752","18,121","8,646","1,918",22.18,169,"1,385,833",722,53,"4,085",10.72,10.33,10.83,15.71,13.23,11.66,14.01,8.6,4.91,40.24,46.15,"6,320"
184,名電赤坂,965,"13,505","6,657",49.29,"2,274","8,453","2,748","10,944","4,625",747,16.15,68,"833,123",332,19,"1,155",10.85,11.12,9.03,15.47,13.45,11.34,16.02,8.44,4.29,29.41,50,"5,279"
