index,駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
5010,初石,"17,440","62,133","30,691",49.4,"8,398","40,151","13,428","40,025","24,040","5,585",23.23,338,"3,024,107","1,469",113,"5,843",9.37,8.36,10.58,16.76,12.8,11.89,16.17,9.8,4.26,55.33,37.87,"13,506"
5011,豊四季,"14,357","68,644","34,211",49.84,"9,569","45,024","13,770","43,866","28,075","8,142",29,272,"2,726,606","1,304",80,"7,042",9.78,8.27,11.66,18.35,12.78,11.02,15.01,9.22,3.91,55.88,34.56,"15,099"
5012,柏,"138,478","111,113","55,440",49.9,"13,878","75,253","21,078","99,623","50,318","20,053",39.85,914,"21,979,500","4,397",457,"12,751",8.53,8.37,13.54,16.97,14.45,12,12.77,8.78,4.58,62.14,31.4,"50,503"
5013,新柏,"19,595","109,178","53,865",49.34,"15,117","71,203","22,310","73,003","44,505","13,275",29.83,524,"7,437,147","2,388",225,"14,905",9.2,9.68,11.66,15.77,14.53,11.54,13.5,9.52,4.6,44.85,45.61,"21,074"
5014,増尾,"13,033","83,873","41,127",49.03,"11,515","53,298","18,753","52,952","32,307","7,678",23.77,292,"3,739,774","1,534",106,"11,724",8.82,9.97,10.34,14.57,14.13,11.78,15.43,10.41,4.54,38.01,52.74,"11,720"
5015,逆井,"14,040","62,355","30,538",48.97,"8,177","38,999","14,994","41,344","23,389","4,774",20.41,191,"2,388,498","1,228",68,"9,773",8.44,9.5,9.82,14.05,13.35,11.86,17.25,11.07,4.66,37.7,49.21,"9,004"
5016,高柳,"12,730","51,090","25,265",49.45,"7,466","33,423","9,567","32,661","18,901","3,943",20.86,164,"1,576,533","1,007",51,"6,984",9.42,10.68,10.62,14.85,14.59,12.42,15.47,8.68,3.27,42.07,40.24,"9,175"
5017,六実,"15,323","59,053","29,057",49.2,"8,229","38,375","11,617","39,518","22,271","5,331",23.94,269,"2,553,407","1,123",70,"8,398",9.01,10.31,10.91,14.86,14.52,12.26,15.11,8.89,4.13,53.9,35.32,"12,048"
5018,新鎌ケ谷,"38,217","66,872","32,786",49.03,"9,137","42,941","14,247","44,930","26,054","6,864",26.35,376,"3,839,902","1,733",107,"6,053",9.26,8.94,10.91,16.1,13.79,11.44,15.42,9.64,4.5,53.72,38.3,"16,101"
5019,鎌ケ谷,"22,339","89,884","44,250",49.23,"11,974","57,796","19,751","57,092","35,274","8,689",24.63,445,"5,317,617","2,231",152,"7,479",8.8,9.1,10.63,15.64,13.62,11.68,16.42,10.21,3.9,49.21,40.9,"18,082"
