駅名,乗降客数（日）,人口総数,男性人口,男性人口比率,0～14歳人口,15～64歳人口,65歳以上人口,昼間人口,世帯数,一人世帯数,一人世帯率,小売事業所数,小売業年間商品販売額,全産業事業所数,飲食店事業所数,生徒学生数,0～9歳人口(比率),10～19歳人口(比率),20～29歳人口(比率),30～39歳人口(比率),40～49歳人口(比率),50～59歳人口(比率),60～69歳人口(比率),70～79歳人口(比率),80歳以上人口(比率),買回り品(事業所数比率),最寄り品(事業所数比率),全産業従業者総数
8860,朝里,620,"1,696",791,46.64,273,"1,000",426,"1,258",681,158,23,10,"269,091",48,5,269,10.29,10.52,8.29,14.52,12.76,11.82,13.29,11.52,7,40,50,300
8862,銭函,"5,326","1,870",870,46.52,185,"1,149",536,"1,491",847,298,35,22,"101,896",66,8,279,5.78,8.72,10.21,10.8,12.25,13.21,18.4,12.19,8.45,31.82,59.09,413
8863,ほしみ,"2,206","2,050",974,47.51,334,"1,374",342,"1,090",757,126,17,3,"35,744",36,3,0,10.11,11.68,9.28,14.56,15.49,13.34,14.46,7.72,3.37,33.33,100,389
8864,星置,"12,690","6,559","2,985",45.51,681,"4,490","1,388","4,010","2,504",552,22,34,"608,020",147,16,158,5.51,11.71,10.97,9.24,14.9,17.28,15.22,9.12,6.05,41.18,52.94,"1,359"
8865,稲穂,"1,720","3,369","1,582",46.96,385,"2,297",687,"2,708","1,296",254,20,9,"88,337",62,4,78,7.07,9.89,10.69,12.59,12.86,16.36,16.81,8.05,5.7,22.22,66.67,"1,436"
8866,手稲,"29,790","6,132","2,745",44.77,673,"4,089","1,369","6,266","2,822","1,019",36,80,"1,416,900",413,40,504,7.16,8.33,12.74,14.68,13.39,13.86,13.5,9.65,6.69,56.25,35,"3,724"
8867,稲積公園,"9,656","4,954","2,336",47.15,655,"3,364",935,"3,069","1,993",458,23,19,"149,413",75,5,413,8.4,9.87,11.2,14.53,13.26,15.24,14.21,8.62,4.66,15.79,73.68,806
8868,発寒,"8,852","3,337","1,537",46.06,436,"2,293",600,"3,235","1,391",373,27,90,"1,447,906",102,5,361,9.01,8.89,9.88,17.02,14.23,14.26,13.81,7.72,5.19,87.78,8.89,"1,955"
8869,発寒中央,"8,012","8,091","3,810",47.09,998,"5,461","1,623","4,933","3,560","1,104",31,31,"316,841",213,11,527,8.35,8.49,11.07,16.17,13.66,14.2,14.14,8.67,5.23,38.71,45.16,"1,657"
8870,琴似,"23,088","12,520","5,586",44.62,"1,228","8,732","2,502","9,477","6,537","3,093",47,100,"1,641,958",624,58,288,6.42,7.36,12.2,15.9,15.76,14.56,13.1,9.19,5.52,62,33,"5,016"
